num_threads, kind, chunksize, reps, t1, res1, t2, res2 
4, 3, 1, 05, -343021.474766, 0.438060, -25242644.603147, 5.433401
4, 3, 1, 06, -343021.474766, 0.453295, -25242644.603147, 5.432839
4, 3, 1, 07, -343021.474766, 0.450284, -25242644.603147, 5.429996
4, 3, 1, 08, -343021.474766, 0.453243, -25242644.603147, 5.433869
4, 3, 1, 09, -343021.474766, 0.456165, -25242644.603147, 5.431382
4, 3, 1, 10, -343021.474766, 0.454096, -25242644.603147, 5.430762
4, 3, 2, 01, -343021.474766, 0.435145, -25242644.603147, 5.430089
4, 3, 2, 02, -343021.474766, 0.438129, -25242644.603147, 5.431420
4, 3, 2, 03, -343021.474766, 0.451898, -25242644.603147, 5.433775
4, 3, 2, 04, -343021.474766, 0.445101, -25242644.603147, 5.431694
4, 3, 2, 05, -343021.474766, 0.430858, -25242644.603147, 5.430744
4, 3, 2, 06, -343021.474766, 0.449957, -25242644.603147, 5.431209
4, 3, 2, 07, -343021.474766, 0.456010, -25242644.603147, 5.429878
4, 3, 2, 08, -343021.474766, 0.436037, -25242644.603147, 5.430530
4, 3, 2, 09, -343021.474766, 0.449907, -25242644.603147, 5.431594
4, 3, 2, 10, -343021.474766, 0.446259, -25242644.603147, 5.432010
4, 3, 4, 01, -343021.474766, 0.441596, -25242644.603147, 5.429832
4, 3, 4, 02, -343021.474766, 0.454784, -25242644.603147, 5.429326
4, 3, 4, 03, -343021.474766, 0.439928, -25242644.603147, 5.429519
4, 3, 4, 04, -343021.474766, 0.440119, -25242644.603147, 5.431859
4, 3, 4, 05, -343021.474766, 0.442960, -25242644.603147, 5.432422
4, 3, 4, 06, -343021.474766, 0.427194, -25242644.603147, 5.431766
4, 3, 4, 07, -343021.474766, 0.445047, -25242644.603147, 5.431059
4, 3, 4, 08, -343021.474766, 0.437862, -25242644.603147, 5.432168
4, 3, 4, 09, -343021.474766, 0.449532, -25242644.603147, 5.429593
4, 3, 4, 10, -343021.474766, 0.439572, -25242644.603147, 5.429649
4, 3, 8, 01, -343021.474766, 0.443667, -25242644.603147, 5.429226
4, 3, 8, 02, -343021.474766, 0.444618, -25242644.603147, 5.430124
4, 3, 8, 03, -343021.474766, 0.436900, -25242644.603147, 5.429864
4, 3, 8, 04, -343021.474766, 0.431065, -25242644.603147, 5.433288
4, 3, 8, 05, -343021.474766, 0.443335, -25242644.603147, 5.429978
4, 3, 8, 06, -343021.474766, 0.443421, -25242644.603147, 5.432811
4, 3, 8, 07, -343021.474766, 0.446327, -25242644.603147, 5.431569
4, 3, 8, 08, -343021.474766, 0.439818, -25242644.603147, 5.431098
4, 3, 8, 09, -343021.474766, 0.442729, -25242644.603147, 5.432468
4, 3, 8, 10, -343021.474766, 0.444509, -25242644.603147, 5.430211
4, 3, 16, 01, -343021.474766, 0.445666, -25242644.603147, 5.432150
4, 3, 16, 02, -343021.474766, 0.440602, -25242644.603147, 5.432861
4, 3, 16, 03, -343021.474766, 0.438696, -25242644.603147, 5.431260
4, 3, 16, 04, -343021.474766, 0.450769, -25242644.603147, 5.430172
4, 3, 16, 05, -343021.474766, 0.449187, -25242644.603147, 5.432733
4, 3, 16, 06, -343021.474766, 0.443199, -25242644.603147, 5.430412
4, 3, 16, 07, -343021.474766, 0.427258, -25242644.603147, 5.430576
4, 3, 16, 08, -343021.474766, 0.429620, -25242644.603147, 5.433237
4, 3, 16, 09, -343021.474766, 0.440239, -25242644.603147, 5.431891
4, 3, 16, 10, -343021.474766, 0.441235, -25242644.603147, 5.430288
4, 3, 32, 01, -343021.474766, 0.440437, -25242644.603147, 5.431322
4, 3, 32, 02, -343021.474766, 0.441268, -25242644.603147, 5.433783
4, 3, 32, 03, -343021.474766, 0.453109, -25242644.603147, 5.431346
4, 3, 32, 04, -343021.474766, 0.440319, -25242644.603147, 5.430188
4, 3, 32, 05, -343021.474766, 0.430775, -25242644.603147, 5.431511
4, 3, 32, 06, -343021.474766, 0.429604, -25242644.603147, 5.430094
4, 3, 32, 07, -343021.474766, 0.445165, -25242644.603147, 5.430457
4, 3, 32, 08, -343021.474766, 0.442335, -25242644.603147, 5.431352
4, 3, 32, 09, -343021.474766, 0.448926, -25242644.603147, 5.429696
4, 3, 32, 10, -343021.474766, 0.455361, -25242644.603147, 5.432292
4, 3, 64, 01, -343021.474766, 0.461754, -25242644.603147, 5.430966
4, 3, 64, 02, -343021.474766, 0.436174, -25242644.603147, 5.432589
4, 3, 64, 03, -343021.474766, 0.451506, -25242644.603147, 5.429788
4, 3, 64, 04, -343021.474766, 0.443399, -25242644.603147, 5.431408
4, 3, 64, 05, -343021.474766, 0.438089, -25242644.603147, 5.430719
4, 3, 64, 06, -343021.474766, 0.453290, -25242644.603147, 5.432773
4, 3, 64, 07, -343021.474766, 0.444034, -25242644.603147, 5.431180
4, 3, 64, 08, -343021.474766, 0.453524, -25242644.603147, 5.432274
4, 3, 64, 09, -343021.474766, 0.450679, -25242644.603147, 5.431083
4, 3, 64, 10, -343021.474766, 0.450993, -25242644.603147, 5.430501
